"name","group","element","units","context","S45777","S45778","S45779","S45780","S45781","S45782","S45783","S45784","S45785","S45786","S45787","S45788","S45789","S45790","S45791","S45792","S45793","S45794","S45795","S45796","S45797","S45798","S45799","S45800","S45801","S45802","S45803","S45804","S45805","S45806","S45807","S45808","S45809","S45810","S45811","S45812","S45813","S45814","S45815","S45816","S45817","S45818","S45819","S45820","S45821","S45822","S45823","S45824","S45825","S45826","S45827","S45828","S45829","S45830","S45831","S45832","S45833","S45834","S45835","S45836","S45837","S45838","S45839","S45840","S45841","S45842","S45843","S45844","S45845","S45846","S45847","S45848","S45849","S45850","S45851","S45852","S45853","S45854","S45855","S45856","S45857","S45858","S45859","S45860","S45861","S45862","S45863","S45864","S45865","S45866","S45867","S45868","S45869","S45870","S45871","S45872","S45873","S45874","S45875","S45876","S45877","S45878","S45879","S45880","S45881","S45882","S45883","S45884","S45885","S45886","S45887","S45888","S45889","S45890","S45891","S45892","S45893","S45894","S45895","S45896","S45897","S45898","S45899","S45900","S45901","S45902","S45903","S45904","S45905","S45906","S45907","S45908","S45909","S45910","S45911","S45912","S45913","S45914","S45915","S45916","S45917"
Osmunda regalis,VACR,spore,NISP,,17,21,15,5,,6,18,5,,6,31,13,74,5,,7,,6,1,3,2,2,1,1,1,8,4,10,7,2,,2,3,2,,1,3,,,1,4,,4,3,1,,1,,,,,,,1,9,5,5,3,,1,14,2,2,1,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,9,,,,,,,,,,,,,,,,,
Parinari-type,TRSH,pollen,NISP,,,,2,,1,1,1,1,1,1,2,1,3,,1,4,2,,,1,1,3,4,2,,3,,5,3,1,,,4,2,2,,,,,,1,4,,,,2,,3,,,,,,1,,1,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,1,1,1,,4,,,,,1,,,,,,,,,,,,1,,,,,,,
Persicaria nepalensis-type,UPHE,pollen,NISP,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Persicaria senegalensis-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,2,,,1,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix reclinata-type,PALM,pollen,NISP,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyllanthus niruri-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,1,,,2,1,,,1,,1,1,1,1,,,1,,,1,2,,,,,,,1,,,,2,,,1,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Phyllanthus rivae-type,UPHE,pollen,NISP,,,,,,,1,,,,,,,,3,2,,,5,9,16,11,19,20,14,11,16,12,16,5,7,4,9,7,5,4,6,1,2,2,2,1,5,,3,1,,1,3,1,,,1,2,2,2,,3,3,2,,5,3,,,,1,1,,,,1,,,,2,,1,2,,1,,2,1,3,3,4,3,2,3,9,5,2,3,1,2,3,7,6,3,4,3,16,17,14,12,9,21,12,12,1,,13,15,12,7,8,7,10,7,8,12,14,2,2,,,3,1,,,2,3,,,,,,,1,,1
Pilea bambuseti-type,UPHE,pollen,NISP,,1,,,5,1,,2,2,3,,2,,1,,1,,4,,,,1,,1,,,,,,,,,,,,1,1,,1,,,,,,,,,,,1,,,,,1,,2,,2,,1,,1,,,1,,,,,1,,,,2,,,,2,,1,1,,,,,2,1,,2,1,1,,1,,,1,,1,,,,3,1,,1,1,,,1,5,,2,1,1,,2,,,,,1,,,,,,,,,,,,,,,,,,,,
Plantago africana-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Poaceae,UPHE,pollen,NISP,,83,111,111,37,73,42,60,45,47,50,34,35,42,43,44,34,30,19,36,32,22,35,44,43,36,34,35,44,48,43,29,30,33,15,15,22,15,33,14,22,33,74,49,43,33,23,18,22,21,22,11,16,16,8,17,19,13,10,15,13,11,14,16,24,24,14,18,10,11,19,13,21,26,26,25,13,23,33,17,43,40,27,35,38,36,24,25,41,23,36,33,30,31,22,33,43,39,78,86,52,64,52,72,59,65,88,77,82,102,67,65,46,98,61,83,53,43,175,80,116,190,193,156,176,187,372,397,297,405,627,420,546,448,668,629,362,508,472,196,826,182
Podocarpus,TRSH,pollen,NISP,,1,10,7,,5,5,2,3,1,7,4,6,5,5,8,6,8,10,11,6,,8,1,3,1,8,3,6,3,2,7,8,3,2,2,3,3,6,,1,2,2,1,1,2,4,3,1,3,2,4,4,3,6,5,7,14,10,2,3,9,4,2,1,,,3,6,6,14,11,8,13,6,4,3,2,1,1,1,3,1,3,12,1,2,,3,3,,5,2,5,2,7,5,6,8,8,4,3,3,7,3,10,9,11,11,9,10,10,8,17,10,7,10,5,20,7,7,18,9,8,10,7,29,9,4,11,15,8,7,17,,5,14,8,24,,2,2
Polygala,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polyscias fulva-type,TRSH,pollen,NISP,,2,,2,3,2,5,5,3,16,8,4,8,5,6,1,2,13,4,3,3,3,3,5,6,,6,2,3,7,2,1,3,3,3,7,3,8,6,9,,4,4,5,2,3,4,1,9,5,4,2,1,4,7,4,3,20,5,,4,20,4,16,10,17,6,15,3,20,10,38,29,28,6,24,9,20,5,18,22,21,7,19,18,15,,10,16,8,3,5,2,18,1,6,2,6,1,2,2,7,,5,1,3,7,5,7,5,,12,1,10,2,2,,,3,,,,2,,,,,,,,,,,,,,,1,,,,
Potamogeton thunbergii-type,AQVP,pollen,NISP,,4,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protea-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Prunus africana-type,TRSH,pollen,NISP,,,,1,,,3,3,7,1,5,5,3,1,5,1,4,,3,1,2,1,1,1,,1,,,,1,,,5,5,1,1,,3,1,,,,3,,1,,,,,,,,,1,,,,,3,,,,,,,1,,,1,1,,1,,1,,2,,1,,,,,,1,,1,,,,,,,,1,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,
Psydrax schimperiana-type,TRSH,pollen,NISP,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,1,1,,,1,,1,,,,,1,,,,1,,3,,,,,,2,2,5,1,,2,2,,,,,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,,,,,,,,,,,,,
Ranunculus,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,2,1,3,4,3,1,2,1,,,3,7,,4,1,3,
Rapanea melanophloeos-type,TRSH,pollen,NISP,,,,,1,,2,1,4,1,4,2,4,4,3,3,,2,3,,2,2,,1,,1,2,1,6,3,5,2,4,2,6,2,8,7,5,4,4,2,5,,4,3,1,1,,4,2,,,1,4,10,2,10,13,2,6,14,,,2,3,8,3,2,,2,,1,1,2,1,,1,2,,4,,1,,3,2,7,3,6,1,4,1,,,2,,1,3,,,1,,,,1,,2,,,1,,,1,2,1,,2,1,2,,2,1,2,,,,4,,,,,2,,,,,,,,,,1
Resedaceae,UPHE,pollen,NISP,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhamnaceae,TRSH,pollen,NISP,,,,,,,,,,1,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricinus communis,UPHE,pollen,NISP,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubia-type,UPHE,pollen,NISP,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,2,1,,2,,,1,,,,,,,2,,,,,,1,,,,,,,,1,,,,,,,,,,,,
Rubiaceae undiff.,TRSH,pollen,NISP,,2,1,,,2,1,2,3,6,3,4,1,,1,3,2,2,2,,,2,,,,2,3,1,1,5,,5,1,3,6,1,1,8,6,8,2,8,6,4,2,5,6,4,3,1,6,4,2,3,4,,4,3,6,8,3,7,4,3,1,8,10,2,9,8,17,16,24,22,10,14,5,3,4,2,13,8,6,13,5,4,6,6,,2,2,1,1,2,,1,,8,,4,,1,1,,1,1,1,2,1,1,3,,1,,1,1,1,3,4,1,,,,,,,,,,,,1,,,,,,,,,,
Rubus pinnatus-type,TRSH,pollen,NISP,,1,,,,,,1,1,,,,1,,,,,,,,,,,,,,,1,,,1,,1,1,1,,1,1,,1,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,3,,1,,,,2,,2,,1,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,2,,,,,2,,1,,,,,,,,1,,,,1,,,,,,,,,,,
Rumex,UPHE,pollen,NISP,,2,,1,,,,1,,,1,,,1,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
Sapotaceae undiff.,TRSH,pollen,NISP,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schefflera abyssinica-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,1,,,1,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schefflera myriantha-type,TRSH,pollen,NISP,,1,,1,,4,2,2,8,6,4,6,2,8,2,4,,3,,,3,2,,4,8,9,1,4,6,5,9,5,5,5,8,9,5,13,7,16,16,8,5,3,5,6,4,15,7,15,4,6,2,15,5,18,22,7,36,20,13,4,20,9,8,3,14,3,13,5,41,13,2,4,24,7,16,,29,2,6,5,16,3,8,2,5,2,11,2,13,8,7,4,4,2,5,6,3,5,,1,4,3,5,2,2,,,7,6,1,5,1,1,3,,,1,,,,,,,,,,,,,,,,,,,,,,,
Sebaea brachyphylla-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Securinega virosa-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sericostachys scandens-type,UPHE,pollen,NISP,,,,,1,,4,1,1,1,2,1,3,3,,,2,,,,1,,,3,2,,,2,1,1,1,2,2,,,,1,2,,1,,,1,,,1,,,1,1,2,,,1,1,,,,2,,1,,1,,,1,,,,1,1,2,,3,,,,2,,,1,1,,2,2,,1,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shirakiopsis elliptica-type,TRSH,pollen,NISP,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,1,,,,,,1,2,,2,,2,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silene burchellii-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,1,,,6,1,2,2,,3,,,,,2,1,2,2,3,,,,,2,1,,1,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,1,,,,,4,,,,,,2,5,,,1,,1,1,,1
Smithia elliotii-type,UPHE,pollen,NISP,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
Solanecio mannii-type,UPHE,pollen,NISP,,,,,3,,,1,2,,1,,,,1,,3,,,2,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,2,,,,1,
Solanum,UPHE,pollen,NISP,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spermacoce-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphagnum,AQBR,spore,NISP,,1,11,8,,7,,4,,6,3,2,8,1,7,,15,4,5,3,,,1,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,1,,1,,1,,1,,,2,,,,1,,5,,6,,,,,1,,,,,,,,,,
Stellaria mannii-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Stephania abyssinica-type,UPHE,pollen,NISP,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sterculia-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,1,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swertia usambarensis-type,UPHE,pollen,NISP,,,,,1,,,,,,,,,,,,,,1,2,1,2,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,1,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,
Symphonia globulifera,TRSH,pollen,NISP,,,,,,,,,,,1,,,,,2,,,,,,,,,,1,,1,,2,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syzygium-type,TRSH,pollen,NISP,,,,2,8,8,8,3,10,8,11,4,6,6,9,16,8,11,16,14,7,19,7,16,13,25,7,23,16,40,20,54,37,37,31,21,30,36,34,30,36,35,31,24,18,61,25,26,31,31,27,32,30,48,26,19,21,45,38,30,39,43,23,4,17,4,10,6,12,24,37,14,18,17,17,8,14,9,10,15,14,14,21,19,6,11,12,12,5,7,13,9,9,9,7,4,4,26,6,4,3,5,2,2,4,4,4,2,6,7,11,8,9,9,7,7,3,,1,1,,1,1,1,,3,1,1,,,,1,1,,,,,,,,,
Teclea-type,TRSH,pollen,NISP,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetrorchidium,TRSH,pollen,NISP,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,2,,2,,,,,,,1,,,1,2,,1,1,,,,1,,2,,1,,,1,1,2,,,1,1,,,,1,,3,1,,1,,1,1,2,,,1,1,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalictrum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,1,,,,,,,,,,2,4,1,1,,,,,,,,,,,,1,,,,,,,,,
Thymelaeaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiliacora funifera-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilioideae,TRSH,pollen,NISP,,,,,,1,,,,,,,,1,,2,,,,,,,,2,2,1,2,,,,5,,4,,,,,,,1,,1,,,1,,,1,1,,1,1,,2,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,1,1,1,,,,,1,,,,,,,,,1,,,,,1,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
Toddalia asiatica-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trema orientalis-type,TRSH,pollen,NISP,,1,1,,,2,1,,1,1,3,,,1,1,1,,,,1,,,,,,,,,,,2,1,,,2,,,1,,,,2,,,,1,,,,,,,,,,1,,,,,,1,,,,,1,1,,,,,,,,,,,,1,,1,2,,,1,1,,,1,,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Trilepisium madagascariense-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typha,AQVP,pollen,NISP,,,,1,,,,,,,,,,1,,,,,,1,,,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,1,1,,,,,1,,,,,,,,,,1,
Uapaca kirkiana-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uapaca undiff.,TRSH,pollen,NISP,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,,,,,,,1,1,,1,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uebelinia abyssinica-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,2,3,,,,
Unknown (monolete),UNID,spore,NISP,,98,94,73,50,25,25,32,43,14,57,27,35,35,19,13,31,28,35,26,12,18,15,19,25,23,47,40,56,46,55,23,31,52,38,47,54,82,83,99,72,111,64,51,53,128,6,14,28,18,21,18,27,16,62,144,122,174,215,134,167,323,134,107,99,165,154,184,88,27,18,41,25,51,26,40,27,54,81,91,154,221,169,293,237,343,248,335,329,271,307,305,270,350,336,421,252,136,217,287,209,288,219,241,152,198,238,273,167,193,116,142,88,170,103,104,123,98,213,103,77,104,56,42,39,13,42,31,17,13,9,41,31,3,8,28,22,10,7,62,102,63
Unknown (trilete),UNID,spore,NISP,,12,8,48,22,15,93,101,16,19,18,59,40,63,61,49,40,41,127,187,115,64,65,84,125,71,131,97,172,45,22,25,50,93,102,63,38,42,29,63,35,63,70,107,62,86,145,143,74,37,73,80,169,138,107,57,59,30,48,44,35,67,87,107,117,48,84,114,118,3,24,45,17,63,40,177,111,113,41,152,31,31,8,26,12,11,12,15,11,8,11,8,12,25,14,16,5,13,9,9,3,3,3,4,5,4,6,2,8,10,5,7,4,5,3,2,3,14,14,3,8,19,10,6,,5,,3,3,,,4,4,,1,8,11,6,1,4,8,19
Urticaceae undiff.,UPHE,pollen,NISP,,6,5,,3,9,2,7,15,17,9,4,1,6,7,9,3,11,3,8,3,8,3,,2,7,1,7,3,2,3,11,8,8,3,1,5,,,,5,2,3,,5,,10,9,1,11,14,17,8,17,9,3,3,4,2,1,13,7,5,1,5,,3,,5,11,27,,7,2,13,2,7,2,3,2,11,2,5,1,,3,8,5,4,2,1,8,7,,5,,10,,11,6,2,2,6,,4,2,,,2,2,6,,2,,5,4,3,1,8,4,5,,1,2,,,,,,,,,,2,,,,,,1,,2
Vangueria madagascariensis-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vernonieae,UPHE,pollen,NISP,,2,5,6,7,3,1,2,4,4,1,2,2,1,2,1,3,1,,,1,4,2,2,3,5,1,,2,4,3,9,6,2,2,3,4,2,3,5,6,3,1,,,,1,2,,3,1,2,3,1,5,2,2,,5,1,1,4,1,3,1,,,2,2,,1,1,1,1,,2,1,2,,1,2,5,2,3,,7,2,1,,1,,,2,1,2,1,2,5,1,2,1,1,2,,4,3,3,1,1,4,2,2,,2,,1,,1,2,1,3,4,8,3,3,3,5,,,,,,1,,,,3,1,2,,1,1
Vigna luteola-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virectaria,UPHE,pollen,NISP,,,1,,1,1,,,,,1,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xyris,UPHE,pollen,NISP,,1,12,5,14,5,19,33,12,16,18,9,10,15,19,17,3,10,10,6,2,3,3,3,8,7,8,4,10,2,3,,7,17,22,2,,4,,2,1,4,5,8,5,4,10,19,6,10,21,16,17,15,8,4,13,5,10,5,3,5,4,10,16,4,10,5,10,4,13,12,4,6,14,12,6,7,6,2,1,,,1,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,3,,1,1,1,1,,2,,,,,,,,,,,,,1,,,,,,,,,1,
Zanha golungensis-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
