YBP;Acacia;Acalypha;Alchemilla;Allophylus;Aloe;Anthospermum;Apiaceae;Artemisia;Aster;Asteraceae;Brassicaceae;Capparidaceae;Carduus;Caryophylaceae;Cassia;Chenopodiaceae;Clematis;Combretum;Commiphora;Cussonia;Dobera;Dodonaea;Ephedra;Erica;Euclea;Euphorbiaceae;Ficus;Hagenia;Hypericum;Hypoestes;Iridaceae;Juniperus;Justicia;Lamiaceae;Lannea;Leguminosae;Macaranga;Maytenus;Melastomataceae;Monoletes;Myrica;Myrsine;Olea;Poaceae;Podocarpus;Polygonum;Rapanea;Rhus;Rosa;Rumex;Schefflera;Securinega;Senecio;Solanum;Teclea;Urticaceae;Zanthoxylum;Undetermined
1996;0;0;7;0;0;3;3;0;1;20;0;2;18;2;0;7;1;7;2;0;0;9;2;4;0;0;0;28;4;0;2;52;1;1;0;4;0;0;1;5;2;2;16;70;64;0;0;0;0;0;0;0;2;0;0;0;0;5
2011;0;0;6;0;0;2;1;3;2;15;2;0;26;0;0;7;0;9;1;0;0;5;0;10;0;0;1;22;4;0;2;51;1;4;0;1;0;0;1;4;1;2;11;69;79;2;1;0;0;0;0;0;0;0;0;0;0;1
2057;0;0;12;0;2;6;0;3;2;8;1;0;21;2;0;7;1;8;0;0;0;10;0;72;0;0;0;27;3;0;0;63;1;1;0;5;0;0;0;0;3;1;12;65;68;2;1;2;0;0;0;0;0;0;0;0;0;4
2069;0;0;9;0;1;5;8;0;1;17;2;0;20;3;0;5;0;5;0;0;0;7;0;56;0;0;0;31;4;0;5;61;1;4;0;2;0;0;0;3;1;0;20;59;86;0;1;1;0;0;0;0;3;1;0;0;0;2
2083;0;0;3;0;0;3;3;0;2;20;0;0;19;0;0;5;1;7;0;0;0;10;0;30;0;0;0;40;5;0;1;60;0;3;0;4;0;0;2;3;2;1;15;75;91;0;1;0;0;0;0;0;5;0;0;2;0;3
2097;0;0;3;0;0;6;0;2;2;12;2;0;24;1;1;5;1;7;0;0;0;6;2;11;0;2;0;29;5;0;3;77;0;4;0;5;0;1;0;5;0;1;17;73;96;0;1;0;0;0;0;0;0;0;0;1;0;0
2111;0;0;9;0;0;0;6;3;1;23;1;0;4;2;0;5;0;7;0;0;0;5;0;13;0;0;0;29;1;0;2;81;2;2;0;1;0;0;2;0;3;1;18;58;83;0;0;1;0;0;0;0;0;2;0;0;1;3
2125;0;0;11;0;0;7;4;1;2;8;0;0;4;2;0;8;0;10;0;0;0;7;1;36;0;0;0;29;5;0;1;41;1;3;0;0;0;0;2;5;2;0;11;34;87;0;1;1;0;0;0;0;1;0;0;0;0;5
2139;0;0;7;0;0;3;9;0;1;6;1;1;2;5;0;8;0;8;0;0;0;7;0;28;0;0;0;22;1;0;5;62;2;4;0;3;0;0;2;5;4;0;18;86;95;0;1;0;0;0;0;0;2;0;0;2;0;1
2151;0;0;8;0;0;2;9;0;1;23;1;2;0;1;0;5;0;10;0;0;0;9;0;17;0;0;0;16;2;0;4;90;1;2;0;3;0;0;2;4;5;0;19;68;85;0;2;0;0;0;0;0;3;0;0;0;0;0
2166;0;0;5;0;0;9;2;4;2;7;1;1;4;2;0;5;0;8;0;0;0;7;0;21;0;0;0;40;2;0;0;92;1;2;0;4;0;2;1;2;1;2;10;31;83;0;2;1;2;0;0;0;0;0;0;0;0;1
2180;0;1;4;0;0;3;5;3;2;23;0;0;3;5;0;7;0;7;1;0;0;8;0;15;0;0;1;30;1;0;4;107;0;0;0;3;0;0;1;3;2;2;20;68;82;0;0;0;0;0;0;0;2;0;0;0;0;4
2195;0;0;1;0;0;2;8;5;0;21;0;0;0;2;0;4;0;5;0;0;0;9;1;2;0;0;0;20;4;1;1;109;0;0;0;5;0;0;1;0;0;2;18;62;97;0;1;0;0;0;0;0;2;0;0;1;0;5
2211;0;0;12;0;2;0;8;4;0;13;2;0;5;2;0;7;0;9;0;0;0;7;0;4;0;1;1;20;2;0;4;100;2;4;0;2;0;0;0;5;5;2;20;73;86;0;1;1;0;0;0;0;0;0;0;3;0;3
2226;0;0;3;0;1;8;2;0;2;11;2;0;4;3;0;5;0;6;0;0;0;10;0;15;0;0;2;37;4;0;4;99;0;3;0;3;0;3;0;5;3;2;15;24;89;0;2;1;0;0;0;0;3;1;0;0;0;1
2242;0;0;2;0;0;8;10;0;2;5;0;0;4;5;0;5;0;10;0;0;0;6;0;32;0;0;1;26;4;0;4;100;2;1;0;0;0;0;0;1;3;0;20;30;80;0;2;1;0;0;0;0;1;1;0;4;0;4
2316;0;0;8;0;0;11;12;1;1;10;0;0;4;4;0;4;0;8;0;0;0;10;0;5;0;0;0;31;1;0;4;98;0;0;0;5;0;0;0;2;5;0;10;45;81;0;1;1;0;0;1;0;1;1;0;0;0;2
2409;0;0;5;0;0;2;0;4;1;16;1;0;1;0;0;7;0;8;0;0;0;6;1;10;0;0;0;19;4;0;1;105;2;0;0;2;0;0;0;2;0;0;18;90;86;0;2;0;0;0;0;0;3;1;0;0;0;0
2505;0;0;12;0;0;10;2;4;0;12;1;0;5;4;0;5;0;8;0;0;0;5;0;8;0;0;0;23;1;0;2;104;1;3;0;5;0;0;0;3;5;0;13;31;82;0;1;1;0;0;0;0;2;0;0;0;0;4
2631;0;0;8;0;0;5;0;0;0;11;2;0;2;1;0;6;0;11;0;0;0;5;0;19;0;1;0;28;3;0;1;110;0;5;0;2;0;0;0;4;4;2;20;94;54;0;2;0;0;0;0;0;5;0;0;0;0;5
2723;0;0;3;0;0;9;13;4;1;13;2;0;4;3;0;6;0;13;0;0;0;10;0;14;0;1;2;35;5;0;2;92;1;5;0;2;0;0;0;4;4;1;17;72;40;0;0;0;0;0;0;0;4;0;0;0;1;5
2787;0;0;1;0;0;0;1;3;0;9;1;2;4;1;0;7;0;11;0;0;0;7;0;9;0;0;0;14;1;0;1;27;1;5;0;3;0;0;0;4;5;2;15;40;54;0;1;0;0;0;0;0;5;0;0;0;0;1
2820;0;0;9;0;0;7;3;4;0;18;2;2;0;2;0;4;0;12;0;0;0;9;0;12;0;0;0;37;2;0;0;57;2;0;0;5;0;0;0;0;5;1;16;64;38;0;2;1;0;0;0;0;0;0;0;0;0;3
2867;0;0;8;0;0;12;3;1;1;23;0;2;2;1;0;5;0;13;0;0;0;7;0;21;0;0;0;18;5;0;3;59;0;3;0;1;0;0;0;0;3;2;14;70;51;0;1;1;1;0;0;0;5;0;1;0;0;4
2948;0;0;12;0;1;8;10;4;0;17;0;1;2;2;0;4;0;12;0;0;0;5;2;32;0;0;0;16;1;0;1;24;0;3;0;5;0;0;0;4;3;0;20;33;41;0;2;0;0;0;0;0;2;0;0;0;0;1
3067;0;0;2;2;2;9;4;0;0;19;2;1;5;1;0;4;0;14;0;0;0;9;0;26;0;0;0;15;4;1;1;23;2;3;0;1;0;0;0;4;2;0;13;94;32;0;1;0;0;0;1;0;5;0;0;0;0;1
3273;0;0;0;4;0;2;11;2;1;22;0;2;5;3;0;8;0;14;0;0;0;5;0;14;0;0;0;17;1;0;1;31;2;0;0;4;0;0;0;4;5;1;11;78;36;0;1;1;0;0;0;0;0;0;0;0;0;0
3402;0;0;1;5;0;3;9;4;1;12;0;1;0;1;0;4;0;12;0;0;0;10;0;18;0;0;0;18;1;0;0;35;0;5;0;4;0;0;0;0;3;1;18;68;44;0;1;1;0;0;0;0;4;0;0;0;0;5
3450;0;0;4;2;0;6;3;0;1;24;2;2;0;2;0;6;0;11;0;0;0;5;1;21;0;0;0;18;2;0;5;28;1;1;0;4;0;0;0;4;0;0;21;62;60;0;1;1;0;0;1;0;3;0;0;0;0;3
3485;0;0;12;1;0;9;3;2;1;25;2;1;0;4;0;5;0;14;0;0;0;10;0;36;0;0;0;19;7;0;0;21;2;3;0;5;0;0;0;0;3;1;14;67;47;0;2;0;1;0;0;0;3;0;0;0;0;0
3536;0;0;7;2;0;3;1;4;0;5;0;0;0;1;0;5;0;11;0;0;0;7;0;10;0;0;0;12;1;0;3;59;2;4;0;1;0;0;0;5;2;2;14;79;48;0;0;1;2;0;0;0;0;0;0;0;0;1
3575;0;1;9;1;0;6;1;2;0;4;0;0;0;2;0;8;0;10;0;0;0;9;0;8;0;0;0;20;2;0;1;39;0;5;0;0;0;0;0;1;2;1;19;79;32;0;2;1;1;0;0;0;0;0;0;1;0;1
3622;0;0;9;5;1;9;11;2;1;20;1;0;0;3;0;5;0;15;0;0;0;8;5;5;0;1;0;15;2;0;2;45;0;0;0;0;0;0;0;1;2;0;18;106;52;0;0;1;1;0;0;0;4;0;0;0;0;1
3665;0;0;11;2;0;0;12;3;0;7;1;0;0;0;0;4;0;11;0;0;0;9;0;10;0;0;0;13;4;0;5;48;1;4;0;0;0;0;0;4;0;1;20;92;49;0;0;0;1;0;0;1;2;0;0;0;0;2
