"name","group","element","units","context","S428969","S428970","S428971","S428972","S428973","S428974","S428975","S428976","S428977","S428978","S428979","S428980","S428981","S428982","S428983","S428984","S428985","S428986","S428987","S428988","S428989","S428990","S428991","S428992","S428993","S428994","S428995","S428996","S428997","S428998","S428999","S429000","S429001","S429002","S429003","S429004","S429005","S429006","S429007","S429008","S429009","S429010","S429011","S429012","S429013","S429014","S429015","S429016","S429017","S429018","S429019","S429020","S429021","S429022","S429023","S429024","S429025","S429026","S429027","S429028","S429029","S429030","S429031","S429032","S429033","S429034","S429035","S429036","S429037","S429038","S429039","S429040","S429041","S429042","S429043","S429044","S429045","S429046","S429047","S429048","S429049","S429050","S429051","S429052","S429053","S429054","S429055","S429056","S429057","S429058","S429059","S429060","S429061","S429062","S429063","S429064"
Drypetes,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,15,11,,,,,,,,,,,,,,,,,,,10,,,,,1,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,
Ekebergia,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,1,2,,,,,1,,1,,,,,,,,,2,,,,,,,,,,,,,,
Elatine,AQVP,pollen,NISP,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,1,,1,,,,,,1,,3,,1,,,,,,,,,,,,,,,,,,,,,
Ericaceae,TRSH,pollen,NISP,,1,12,45,3,1,,5,44,7,,108,5,2,24,2,5,7,50,2,21,14,20,3,2,11,3,3,1,8,,3,,2,1,2,,4,3,2,39,12,21,4,8,1,19,4,,2,1,3,2,2,9,2,10,7,10,6,5,8,17,9,16,2,15,8,3,8,5,5,10,11,13,4,8,8,6,1,3,5,6,4,7,2,3,7,5,2,6,3,3,2,3,2,4
Euclea,TRSH,pollen,NISP,,,,4,,1,,3,,7,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,2,,,,,,,,,
Euphorbia,UPHE,pollen,NISP,,,1,10,3,2,,2,8,7,,8,,,,,6,,51,1,18,3,2,3,1,4,,,,1,,12,,6,1,,,,,,,,,,,,,,,,,1,,1,1,1,,,2,1,,11,,,,,,1,2,,,,,,1,1,1,,,1,,,1,,,,,,,1,,,,,,,
Fabaceae,UPHE,pollen,NISP,,,,6,1,,,,,,1,,,,,,,1,6,,7,,1,,,,,,,4,,,1,,1,,,,,,14,,,,,,,,,1,,,,,,,,,,,,,,,,2,3,,,,2,1,5,3,,,,,,,,,1,,,1,,,,,,,,,,,
Faurea,TRSH,pollen,NISP,,,,17,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
Ficus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,5,,,,,,6,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,1,2,,2,,1,,,3,,,,,,
Fungi,FUNG,spore,NISP,,1,4,337,175,1,3,,15,,2,,,,10,,,,,,,,9,1,11,107,,,5,9,3,,3,,37,1,33,6,1,,,,,4,,,,,,1,,3,,,1,,,,,,1,,,,,1,3,5,,,,4,,3,1,2,2,5,6,1,,4,8,,24,1,4,5,4,,,,5,1,5,2,1
Galium,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,2,,,,,,,,1,,2,,,,,,,1,,,,,,,,,,,,,,
